year,month,value
2010,1,2335397
2010,2,2394876
2010,3,3309510
2010,4,3369962
2010,5,3863966
2010,6,3927567
2010,7,4072487
2010,8,4205120
2010,9,4063860
2010,10,4169066
2010,11,3104760
2010,12,2774376
2011,1,2440457
2011,2,2493872
2011,3,3213992
2011,4,4040004
2011,5,4105650
2011,6,4144832
2011,7,4423201
2011,8,4525518
2011,9,4270850
2011,10,4485682
2011,11,3341252
2011,12,3232990
2012,1,2735178
2012,2,2863226
2012,3,3748931
2012,4,4385322
2012,5,4490444
2012,6,4457876
2012,7,4980034
2012,8,5220816
2012,9,4661730
2012,10,4861788
2012,11,3769699
2012,12,3616842
2013,1,2988211
2013,2,3115077
2013,3,4385888
2013,4,4488448
2013,5,5022604
2013,6,4766948
2013,7,5244336
2013,8,5781458
2013,9,4913966
2013,10,5248558
2013,11,3963402
2013,12,3965234
2014,1,3230740
2014,2,3349810
2014,3,4239302
2014,4,4984130
2014,5,5356133
2014,6,5181812
2014,7,5602302
2014,8,5996980
2014,9,5177832
2014,10,5524850
2014,11,4373110
2014,12,4360364
2015,1,3467560
2015,2,3638130
2015,3,4616402
2015,4,5024624
2015,5,5522012
2015,6,5361016
2015,7,6215340
2015,8,6055644
2015,9,5656188
2015,10,5812280
2015,11,4585641
2015,12,4545268
2016,1,3684249
2016,2,4045746
2016,3,4939946
2016,4,5093966
2016,5,5582962
2016,6,5496828
2016,7,6299835
2016,8,5829658
2016,9,5677217
2016,10,5864422
2016,11,4822030
2016,12,4798530
